69814034045|Julio Guimaraes|500,50|150,05|115,50
82479274039|Lucca Nicassio|700,50|250,05|215,50
44182620089|Geovanni Fedalto|800,50|350,05|315,50
12345678901|Maria Silva|600,00|200,00|150,00
98765432109|João Santos|750,25|300,50|275,75
45678901234|Ana Oliveira|850,75|400,25|350,50
78901234567|Pedro Almeida|400,30|150,20|120,10
23456789012|Luiza Pereira|900,10|450,05|400,50
56789012345|Felipe Rodrigues|350,75|125,25|100,50
89012345678|Camila Fernandes|725,60|290,25|255,30
34567890123|Lucas Souza|950,20|475,10|420,90
67890123456|Mariana Gomes|300,45|100,15|80,30
01234567890|Gustavo Lima|820,35|350,15|305,75
54321098765|Isabela Ribeiro|600,75|250,30|215,50
98765432100|Eduardo Santos|450,25|175,50|150,25
10000000001|Carolina Vieira|725,50|325,75|285,00
20000000002|Ricardo Martins|875,30|400,60|360,75
30000000003|Juliana Ferreira|420,40|150,10|125,30
40000000004|Marcos Pereira|750,20|300,10|265,25
50000000005|Renata Alves|610,75|250,60|215,40
60000000006|Rafaela Santos|400,35|175,20|150,15
70000000007|Thiago Lima|925,50|425,25|380,50
80000000008|Fernanda Oliveira|800,65|350,30|305,75
